pitcher_name,pitcher_lefty,fastball_rate,sinker_rate,slider_rate,changeup_rate,knuckle_curve_rate,curveball_rate,cutter_rate,splitter_rate,other_rate
Austin Voth,False,0.4120317820658343,0.0,0.0482406356413166,0.0079455164585698,0.0,0.3144154370034052,0.217366628830874,0.0,0.0
Austin Warren,False,0.2992700729927007,0.2226277372262773,0.4051094890510949,0.0437956204379562,0.0,0.0,0.0,0.0,0.0291970802919708
Bailey Falter,True,0.311969111969112,0.3305019305019305,0.1482625482625482,0.0401544401544401,0.0,0.1691119691119691,0.0,0.0,0.0
Bailey Ober,False,0.4906323185011709,0.0,0.234192037470726,0.1557377049180328,0.0,0.1194379391100702,0.0,0.0,0.0
Beau Brieske,False,0.4615384615384615,0.0714840714840714,0.2074592074592074,0.2214452214452214,0.0,0.038073038073038,0.0,0.0,0.0
Beau Sulser,False,0.3651226158038147,0.0,0.0,0.3106267029972752,0.0817438692098092,0.0,0.2234332425068119,0.0,0.0190735694822888
Bennett Sousa,True,0.421195652173913,0.0,0.5706521739130435,0.0,0.0,0.0,0.0,0.0,0.0081521739130434
Blake Snell,True,0.5553182400683468,0.0,0.2430585219991456,0.0504058094831268,0.0,0.1512174284493806,0.0,0.0,0.0
Blake Taylor,True,0.7392739273927392,0.0,0.2607260726072607,0.0,0.0,0.0,0.0,0.0,0.0
Brad Boxberger,False,0.5475319926873857,0.0,0.2239488117001828,0.2248628884826325,0.0,0.0,0.0,0.0,0.0036563071297989
Brad Hand,True,0.2971985383678441,0.1790499390986601,0.5176613885505481,0.0,0.0,0.0,0.0,0.0,0.0060901339829476
Brad Keller,False,0.3523475208424748,0.2351908731899956,0.3602457218078104,0.0504607283896445,0.0,0.0,0.0,0.0,0.0017551557700745
Brady Singer,False,0.0054713804713804,0.5378787878787878,0.380050505050505,0.0765993265993266,0.0,0.0,0.0,0.0,0.0
Brandon Bielak,False,0.3495575221238938,0.243362831858407,0.1415929203539823,0.1238938053097345,0.0,0.1415929203539823,0.0,0.0,0.0
Brandon Hughes,True,0.4674796747967479,0.0477642276422764,0.4430894308943089,0.0111788617886178,0.0,0.0,0.0,0.0,0.0304878048780487
Brandon Woodruff,False,0.384160756501182,0.214736012608353,0.1126871552403467,0.1627265563435776,0.0,0.1256895193065405,0.0,0.0,0.0
Braxton Garrett,True,0.2486111111111111,0.2256944444444444,0.3215277777777778,0.0979166666666666,0.0,0.1034722222222222,0.0,0.0,0.0027777777777777
Brayan Bello,False,0.1904761904761904,0.3554817275747508,0.2148394241417497,0.2314507198228128,0.0,0.0033222591362126,0.0,0.0,0.0044296788482834
Brent Suter,True,0.6513589503280225,0.0552952202436738,0.0018744142455482,0.2502343017806935,0.0,0.0412371134020618,0.0,0.0,0.0
Brett Martin,True,0.1010498687664042,0.3451443569553806,0.1784776902887139,0.0,0.0,0.3595800524934383,0.0,0.0,0.0157480314960629
Brock Burke,True,0.6296851574212894,0.0367316341829085,0.1986506746626686,0.1319340329835082,0.0,0.0,0.0,0.0,0.0029985007496251
Brooks Raley,True,0.0036407766990291,0.2196601941747573,0.3834951456310679,0.1953883495145631,0.0,0.0012135922330097,0.1966019417475728,0.0,0.0
Bruce Zimmermann,True,0.2902654867256637,0.1008849557522123,0.1858407079646017,0.2938053097345133,0.0,0.1292035398230088,0.0,0.0,0.0
Brusdar Graterol,False,0.1065088757396449,0.4215976331360946,0.1923076923076923,0.0,0.0,0.0,0.2736686390532544,0.0,0.0059171597633136
Bryan Abreu,False,0.4509803921568627,0.0039215686274509,0.4392156862745098,0.0029411764705882,0.0,0.1029411764705882,0.0,0.0,0.0
Bryan Baker,False,0.5604395604395604,0.0,0.0,0.1741335587489433,0.0,0.0,0.2637362637362637,0.0,0.0016906170752324
Bryan Garcia,False,0.0,0.4921135646687697,0.2365930599369085,0.2712933753943217,0.0,0.0,0.0,0.0,0.0
Bryan Hoeing,False,0.0,0.7078651685393258,0.1123595505617977,0.1048689138576779,0.0,0.0749063670411985,0.0,0.0,0.0
Bryan Shaw,False,0.0,0.0647482014388489,0.0606372045220966,0.0287769784172661,0.0,0.0832476875642343,0.7584789311408017,0.0,0.0041109969167523
Bryce Elder,False,0.0057012542759407,0.4207525655644242,0.2668187001140251,0.1185860889395667,0.0,0.0011402508551881,0.1824401368301026,0.0,0.0045610034207525
Bryse Wilson,False,0.2397372742200328,0.324575807334428,0.1587301587301587,0.1477832512315271,0.0,0.1280788177339901,0.0,0.0,0.0010946907498631
Buck Farmer,False,0.4374269005847953,0.0,0.3076023391812865,0.2350877192982456,0.0,0.0,0.0,0.0,0.0198830409356725
Cal Quantrill,False,0.027064063035286,0.4518670777663583,0.0,0.118533744433025,0.0,0.0424803014731072,0.3600548132922234,0.0,0.0
Caleb Ferguson,True,0.6689655172413793,0.0,0.0,0.0,0.0,0.3310344827586207,0.0,0.0,0.0
Caleb Kilian,False,0.2151898734177215,0.4472573839662447,0.0084388185654008,0.0,0.0,0.0886075949367088,0.2320675105485232,0.0,0.0084388185654008
Caleb Smith,True,0.4555016181229773,0.0,0.2888349514563106,0.2216828478964401,0.0,0.0323624595469255,0.0,0.0,0.0016181229773462
Caleb Thielbar,True,0.492,0.0,0.247,0.011,0.0,0.246,0.0,0.0,0.004
Calvin Faucher,False,0.0,0.4133949191685912,0.4480369515011547,0.0,0.0,0.138568129330254,0.0,0.0,0.0
